Day,Price,Signal,Cash,Shares,PortfolioValue
52,4914.65,-1,95679.28275224297,0.0,95679.28275224297
53,4934.35,1,-19.13681334326975,19.388514543388847,95650.57992382749
54,4925.15,1,-19.13681334326975,19.388514543388847,95472.2055900283
55,4843.7,-1,93864.8393143441,0.0,93864.8393143441
56,4859.3,-1,93864.8393143441,0.0,93864.8393143441
57,5077.95,1,-18.77390651126916,18.48294187759511,93836.68080082281
58,5030.3,-1,92928.0780570922,0.0,92928.0780570922
59,5125.75,1,-18.58654489221226,18.12784219040656,92900.20056258421
60,5194.4,-1,94116.42983317873,0.0,94116.42983317873
61,5128.0,-1,94116.42983317873,0.0,94116.42983317873
62,5196.55,1,-18.824227130928193,18.109518829251638,94088.19584501667
63,4947.9,-1,89558.38455374044,0.0,89558.38455374044
64,5083.85,1,-17.912572494591586,17.614491085711535,89531.5179336
65,5204.35,1,-17.912572494591586,17.614491085711535,91654.06410942825
66,5412.4,1,-17.912572494591586,17.614491085711535,95318.75897981052
67,5402.0,1,-17.912572494591586,17.614491085711535,95135.56827251911
68,5493.2,-1,96712.98381800484,0.0,96712.98381800484
69,5527.5,1,-19.343563893431565,17.494946079329885,96683.97088960251
70,5479.0,-1,95806.7114789806,0.0,95806.7114789806
71,5492.4,1,-19.162300362906535,17.44176183882889,95777.97042322088
72,5588.55,-1,97425.75552607013,0.0,97425.75552607013
73,5688.45,-1,97425.75552607013,0.0,97425.75552607013
74,5633.8,1,-19.486125362789608,17.29135129018478,97396.52877328024
75,5576.95,1,-19.486125362789608,17.29135129018478,96413.51545243323
76,5554.6,-1,95998.24171006547,0.0,95998.24171006547
77,5642.05,0,95998.24171006547,0.0,95998.24171006547
78,5569.85,-1,95998.24171006547,0.0,95998.24171006547
79,5581.75,-1,95998.24171006547,0.0,95998.24171006547
80,5602.95,-1,95998.24171006547,0.0,95998.24171006547
81,5569.0,-1,95998.24171006547,0.0,95998.24171006547
82,5542.05,-1,95998.24171006547,0.0,95998.24171006547
83,5556.9,-1,95998.24171006547,0.0,95998.24171006547
84,5648.05,1,-19.200608324448694,16.99500602959878,95969.44319715095
85,5734.65,-1,97411.97454512412,0.0,97411.97454512412
86,5633.35,1,-19.48336902874871,17.29028647172988,97382.75192649076
87,5622.7,1,-19.48336902874871,17.29028647172988,97198.61037556683
88,5659.85,-1,97811.58834683406,0.0,97811.58834683406
89,5679.55,1,-19.563295785250375,17.21999263037388,97782.24584805472
90,5705.75,1,-19.563295785250375,17.21999263037388,98233.40965497051
91,5614.5,1,-19.563295785250375,17.21999263037388,96662.0853274489
92,5566.5,1,-19.563295785250375,17.21999263037388,95835.52568119095
93,5548.85,1,-19.563295785250375,17.21999263037388,95531.59281126487
94,5441.2,1,-19.563295785250375,17.21999263037388,93677.8606046051
95,5343.4,1,-18.394148296036292,17.20944499713144,91938.55424937609
96,5269.1,1,-18.394148296036292,17.20944499713144,90659.89248608923
97,5304.65,1,-18.394148296036292,17.20944499713144,91271.68825573724
98,5280.8,1,-18.394148296036292,17.20944499713144,90861.24299255566
99,5372.2,1,-18.394148296036292,17.20944499713144,92434.18626529348
100,5412.5,1,-18.394148296036292,17.20944499713144,93127.72689867788
101,5419.65,1,-18.394148296036292,17.20944499713144,93250.77443040736
102,5494.45,1,-18.394148296036292,17.20944499713144,94538.0409161928
103,5485.6,-1,94357.41797660795,0.0,94357.41797660795
104,5469.85,-1,94357.41797660795,0.0,94357.41797660795
105,5518.05,1,-18.872427169495495,17.09806618671112,94329.1116944118
106,5523.55,0,-18.872427169495495,17.09806618671112,94423.15105843871
107,5535.25,0,-18.872427169495495,17.09806618671112,94623.19843282322
108,5509.15,1,-18.872427169495495,17.09806618671112,94176.93890535006
109,5504.3,1,-18.872427169495495,17.09806618671112,94094.01328434452
110,5565.7,1,-18.872427169495495,17.09806618671112,95143.83454820857
111,5529.9,1,-18.872427169495495,17.09806618671112,94531.72377872432
112,5561.05,1,-18.872427169495495,17.09806618671112,95064.32854044037
113,5492.0,-1,93855.53817445034,0.0,93855.53817445034
114,5493.75,-1,93855.53817445034,0.0,93855.53817445034
115,5413.7,1,-18.77204619027907,17.334938119468816,93827.38245117805
116,5372.75,1,-18.77204619027907,17.334938119468816,93117.51673518581
117,5389.1,-1,93372.91892732754,0.0,93372.91892732754
118,5385.1,-1,93372.91892732754,0.0,93372.91892732754
119,5456.7,-1,93372.91892732754,0.0,93372.91892732754
120,5450.65,-1,93372.91892732754,0.0,93372.91892732754
121,5448.15,-1,93372.91892732754,0.0,93372.91892732754
122,5448.2,-1,93372.91892732754,0.0,93372.91892732754
123,5496.1,1,-18.67551751465362,16.987242499685188,93344.9079850051
124,5541.7,-1,94091.28666522662,0.0,94091.28666522662
125,5492.35,1,-18.81919824592478,17.129622004790217,94063.06021976363
126,5537.8,1,-18.81919824592478,17.129622004790217,94841.60153988135
127,5547.2,1,-18.81919824592478,17.129622004790217,95002.61998672636
128,5555.55,1,-18.81919824592478,17.129622004790217,95145.65233046637
129,5575.2,-1,95453.60099230155,0.0,95453.60099230155
130,5477.65,-1,95453.60099230155,0.0,95453.60099230155
131,5531.6,-1,95453.60099230155,0.0,95453.60099230155
132,5567.7,-1,95453.60099230155,0.0,95453.60099230155
133,5689.7,1,-19.091674734459957,16.77488400810106,95424.96586615815
134,5766.9,-1,96690.96712278922,0.0,96690.96712278922
135,5782.5,-1,96690.96712278922,0.0,96690.96712278922
136,5851.35,-1,96690.96712278922,0.0,96690.96712278922
137,5884.2,-1,96690.96712278922,0.0,96690.96712278922
138,5876.85,-1,96690.96712278922,0.0,96690.96712278922
139,5859.6,1,-19.339160334246117,16.499641606851938,96661.96079917537
140,5882.85,1,-19.339160334246117,16.499641606851938,97045.57746653468
141,5786.05,1,-19.339160334246117,16.499641606851938,95448.41215899141
142,5716.0,-1,94264.32056524303,0.0,94264.32056524303
143,5824.35,-1,94264.32056524303,0.0,94264.32056524303
144,5898.75,1,-18.853806756262202,15.978791441931923,94236.04221133966
145,5747.95,1,-18.853806756262202,15.978791441931923,91826.44046189633
146,5805.35,1,-18.853806756262202,15.978791441931923,92743.62309066324
147,5886.75,1,-18.853806756262202,15.978791441931923,94044.29671403649
148,5888.55,-1,94044.8328467666,0.0,94044.8328467666
149,5908.0,1,-18.809907017668593,15.916626649289519,94016.62033698481
150,5923.85,1,-18.809907017668593,15.916626649289519,94268.89886937605
151,5842.0,1,-18.809907017668593,15.916626649289519,92966.1229781317
152,5835.0,-1,92826.84639410743,0.0,92826.84639410743
153,5803.05,-1,92826.84639410743,0.0,92826.84639410743
154,5755.8,-1,92826.84639410743,0.0,92826.84639410743
155,5686.5,1,-18.566297547295108,16.322441847469218,92798.99926808641
156,5645.25,1,-18.566297547295108,16.322441847469218,92125.6985418783
157,5588.65,1,-18.566297547295108,16.322441847469218,91201.84833331154
158,5501.8,1,-18.566297547295108,16.322441847469218,89784.24425885885
159,5411.4,-1,88282.19910384885,0.0,88282.19910384885
160,5390.85,-1,88282.19910384885,0.0,88282.19910384885
161,5408.75,1,-17.657322642757208,16.320475645801597,88255.71532658664
162,5475.35,1,-17.657322642757208,16.320475645801597,89342.65900459702
163,5455.4,-1,88990.35687930629,0.0,88990.35687930629
164,5475.95,-1,88990.35687930629,0.0,88990.35687930629
165,5420.0,-1,88990.35687930629,0.0,88990.35687930629
166,5436.5,-1,88990.35687930629,0.0,88990.35687930629
167,5456.15,-1,88990.35687930629,0.0,88990.35687930629
168,5516.1,1,-17.798961279404466,16.131226704205794,88963.66066179019
169,5542.4,1,-17.798961279404466,16.131226704205794,89387.91192411078
170,5466.1,1,-17.798961279404466,16.131226704205794,88157.09932657989
171,5490.05,1,-17.798961279404466,16.131226704205794,88543.44220614561
172,5586.2,-1,90067.42777841567,0.0,90067.42777841567
173,5478.45,1,-18.0143862299592,16.438668389165947,90040.40845039622
174,5382.0,1,-18.0143862299592,16.438668389165947,88454.89888426117
175,5330.15,-1,87576.26951019993,0.0,87576.26951019993
176,5321.05,-1,87576.26951019993,0.0,87576.26951019993
177,5408.75,-1,87576.26951019993,0.0,87576.26951019993
178,5452.45,-1,87576.26951019993,0.0,87576.26951019993
179,5504.4,1,-17.516129664727487,15.908639203986642,87549.99750475933
180,5456.6,1,-17.516129664727487,15.908639203986642,86789.56455080879
181,5557.55,1,-17.516129664727487,15.908639203986642,88395.54167845123
182,5501.7,-1,87480.7885613072,0.0,87480.7885613072
183,5467.6,-1,87480.7885613072,0.0,87480.7885613072
184,5467.75,1,-17.497032520142966,15.99781303675497,87454.54519919684
185,5340.25,1,-17.497032520142966,15.99781303675497,85414.82403701058
186,5219.65,1,-17.497032520142966,15.99781303675497,83485.48778477793
187,5246.05,1,-17.497032520142966,15.99781303675497,83907.83004894826
188,5293.05,-1,84634.32578793197,0.0,84634.32578793197
189,5432.35,-1,84634.32578793197,0.0,84634.32578793197
190,5430.15,-1,84634.32578793197,0.0,84634.32578793197
191,5519.9,1,-16.927711500844453,15.33105020882647,84608.93633620038
192,5430.45,1,-16.927711500844453,15.33105020882647,83237.57389502086
193,5469.55,1,-16.927711500844453,15.33105020882647,83837.01795818598
194,5537.3,1,-16.927711500844453,15.33105020882647,84875.69660983398
195,5452.55,1,-16.927711500844453,15.33105020882647,83576.39010463592
196,5614.0,1,-16.927711500844453,15.33105020882647,86051.58816085097
197,5725.3,1,-16.927711500844453,15.33105020882647,87757.93404909335
198,5763.3,1,-16.927711500844453,15.33105020882647,88340.51395702876
199,5717.1,-1,87605.92644621927,0.0,87605.92644621927
200,5692.05,1,-17.5220613485144,15.389388288111107,87579.64554399431
201,5656.0,-1,86998.74712300824,0.0,86998.74712300824
202,5737.35,1,-17.400619412073866,15.162060705364489,86972.64836851088
203,5682.55,1,-17.400619412073866,15.162060705364489,86141.76744185691
204,5648.8,1,-17.400619412073866,15.162060705364489,85630.04789305085
205,5752.1,1,-17.400619412073866,15.162060705364489,87196.28876391501
206,5850.75,-1,88665.41499868617,0.0,88665.41499868617
207,5800.05,1,-17.733969653883833,15.285480337262612,88638.81626048613
208,5767.95,-1,88121.70433908433,0.0,88121.70433908433
209,5901.3,-1,88121.70433908433,0.0,88121.70433908433
210,6030.9,-1,88121.70433908433,0.0,88121.70433908433
211,6107.0,-1,88121.70433908433,0.0,88121.70433908433
212,6141.35,1,-17.625222084869165,14.347479614536233,88095.26870864723
213,6172.75,1,-17.625222084869165,14.347479614536233,88545.77956854367
214,6177.45,-1,88586.62524396529,0.0,88586.62524396529
215,6105.1,1,-17.7182109150599,14.508815310612295,88560.05014190407
216,6062.35,1,-17.7182109150599,14.508815310612295,87939.7982873754
217,6005.15,1,-17.7182109150599,14.508815310612295,87109.89405160835
218,6005.35,-1,87086.6584030731,0.0,87086.6584030731
219,6013.3,1,-17.418202547210967,14.480892601170353,87060.53327607048
220,5940.25,-1,85976.89975527521,0.0,85976.89975527521
221,6005.9,-1,85976.89975527521,0.0,85976.89975527521
222,6019.0,-1,85976.89975527521,0.0,85976.89975527521
223,5960.4,1,-17.196239720040467,14.423244041422361,85951.1075447738
224,5926.85,0,-17.196239720040467,14.423244041422361,85467.20770718409
225,5910.55,-1,85206.5357427743,0.0,85206.5357427743
226,5931.15,-1,85206.5357427743,0.0,85206.5357427743
227,5928.7,-1,85206.5357427743,0.0,85206.5357427743
228,5882.65,1,-17.042159213902778,14.482931466769225,85180.97463377607
229,5761.0,-1,83394.09683911294,0.0,83394.09683911294
230,5924.25,-1,83394.09683911294,0.0,83394.09683911294
231,5954.4,1,-16.679653308776324,14.004057352038402,83369.07944366867
232,5995.05,1,-16.679653308776324,14.004057352038402,83938.34437502905
233,6033.65,1,-16.679653308776324,14.004057352038402,84478.90098881772
234,6013.35,1,-16.679653308776324,14.004057352038402,84194.61862457135
235,6023.05,1,-16.679653308776324,14.004057352038402,84330.45798088612
236,5871.0,-1,82176.47735865095,0.0,82176.47735865095
237,5811.6,-1,82176.47735865095,0.0,82176.47735865095
238,5789.95,1,-16.43611723650247,14.191532112387153,82151.8252368795
239,5828.55,-1,82674.80521439064,0.0,82674.80521439064
240,5883.95,-1,82674.80521439064,0.0,82674.80521439064
241,5946.8,-1,82674.80521439064,0.0,82674.80521439064
242,5971.55,1,-16.535787790940958,13.843397340227357,82650.00359924373
243,5920.9,1,-16.535787790940958,13.843397340227357,81948.83552396121
244,6011.3,1,-16.535787790940958,13.843397340227357,83200.27864351777
245,6075.95,1,-16.535787790940958,13.843397340227357,84095.25428156347
246,6143.45,1,-16.535787790940958,13.843397340227357,85029.68360202882
247,6079.9,-1,84124.68744294014,0.0,84124.68744294014
248,6182.3,0,84124.68744294014,0.0,84124.68744294014
249,6286.35,1,-16.825778735466884,13.380781639004057,84099.4508776177
250,6303.2,-1,84299.61621222169,0.0,84299.61621222169
251,6281.0,1,-16.86076623860572,13.420026737184472,84274.32717001706
252,6335.25,-1,84976.85955357779,0.0,84976.85955357779
253,6321.85,1,-16.996221679306473,13.440427021650272,84951.36734514048
254,6209.6,-1,83417.64317846367,0.0,83417.64317846367
255,6150.6,-1,83417.64317846367,0.0,83417.64317846367
256,6127.55,-1,83417.64317846367,0.0,83417.64317846367
257,6092.3,-1,83417.64317846367,0.0,83417.64317846367
258,6021.15,1,-16.6843628121278,13.852719676833344,83392.61871935295
259,6039.95,-1,83627.95060240848,0.0,83627.95060240848
260,6075.45,-1,83627.95060240848,0.0,83627.95060240848
261,6116.3,-1,83627.95060240848,0.0,83627.95060240848
262,6101.25,1,-16.7264263999823,13.70532095547188,83602.86305317283
263,6113.4,-1,83744.24854576522,0.0,83744.24854576522
264,6008.9,0,83744.24854576522,0.0,83744.24854576522
265,6002.95,-1,83744.24854576522,0.0,83744.24854576522
266,6114.45,1,-16.749687151634134,13.694751906624587,83719.12610830906
267,6112.75,1,-16.749687151634134,13.694751906624587,83695.84503006781
268,6175.9,1,-16.749687151634134,13.694751906624587,84560.66861297115
269,6234.3,1,-16.749687151634134,13.694751906624587,85360.44212431803
270,6091.45,-1,83379.12221392414,0.0,83379.12221392414
271,6135.95,1,-16.676658234006027,13.587266188438914,83354.10931071774
272,6105.95,1,-16.676658234006027,13.587266188438914,82946.49132506458
273,6121.4,1,-16.676658234006027,13.587266188438914,83156.41458767596
274,6186.85,1,-16.676658234006027,13.587266188438914,84045.7011597093
275,6150.95,1,-16.676658234006027,13.587266188438914,83557.91830354433
276,6159.45,1,-16.676658234006027,13.587266188438914,83673.41006614605
277,6144.7,1,-16.676658234006027,13.587266188438914,83472.99788986659
278,6030.3,1,-16.676658234006027,13.587266188438914,81918.61463790918
279,5991.35,-1,81364.97042780739,0.0,81364.97042780739
280,6029.15,-1,81364.97042780739,0.0,81364.97042780739
281,6036.05,-1,81364.97042780739,0.0,81364.97042780739
282,6018.3,-1,81364.97042780739,0.0,81364.97042780739
283,5959.45,1,-16.273807735269656,13.651735572534147,81340.56175000335
284,5991.05,1,-16.273807735269656,13.651735572534147,81771.95659409543
285,6008.4,1,-16.273807735269656,13.651735572534147,82008.8142062789
286,5980.5,-1,81603.43915531183,0.0,81603.43915531183
287,5885.05,-1,81603.43915531183,0.0,81603.43915531183
288,5828.7,-1,81603.43915531183,0.0,81603.43915531183
289,5861.1,-1,81603.43915531183,0.0,81603.43915531183
290,5795.25,-1,81603.43915531183,0.0,81603.43915531183
291,5760.3,-1,81603.43915531183,0.0,81603.43915531183
292,5639.2,-1,81603.43915531183,0.0,81603.43915531183
293,5608.3,1,-16.321503865445266,14.549022064286635,81578.95893927329
294,5604.25,1,-16.321503865445266,14.549022064286635,81520.03539991293
295,5575.9,-1,81083.23507922977,0.0,81083.23507922977
296,5479.55,-1,81083.23507922977,0.0,81083.23507922977
297,5486.3,1,-16.21745784819359,14.777742445192985,81058.91091921407
298,5471.9,1,-16.21745784819359,14.777742445192985,80846.11142800329
299,5403.05,-1,79804.71199315385,0.0,79804.71199315385
300,5413.55,-1,79804.71199315385,0.0,79804.71199315385
301,5408.9,1,-15.961740445753094,14.752857904144951,79780.77137728388
302,5489.6,-1,80947.03244326897,0.0,80947.03244326897
303,5462.1,-1,80947.03244326897,0.0,80947.03244326897
304,5505.3,-1,80947.03244326897,0.0,80947.03244326897
305,5541.1,-1,80947.03244326897,0.0,80947.03244326897
306,5531.15,-1,80947.03244326897,0.0,80947.03244326897
307,5540.8,1,-16.19021595896629,14.607807421065832,80922.7491426826
308,5478.25,-1,79985.024822698,0.0,79985.024822698
309,5416.25,-1,79985.024822698,0.0,79985.024822698
310,5422.15,1,-15.99780481478956,14.750058172421708,79961.03011478156
311,5452.1,-1,80378.67032777291,0.0,80378.67032777291
312,5420.65,1,-16.076537852262845,14.826752154813924,80354.55753013983
313,5418.7,-1,80301.544453702,0.0,80301.544453702
314,5460.7,1,-16.061111906179576,14.703887030044935,80277.4547930602
315,5486.8,1,-16.061111906179576,14.703887030044935,80661.22624454438
316,5439.8,-1,79946.14929245655,0.0,79946.14929245655
317,5448.25,0,79946.14929245655,0.0,79946.14929245655
318,5470.15,-1,79946.14929245655,0.0,79946.14929245655
319,5441.35,-1,79946.14929245655,0.0,79946.14929245655
320,5432.5,-1,79946.14929245655,0.0,79946.14929245655
321,5369.55,-1,79946.14929245655,0.0,79946.14929245655
322,5408.4,-1,79946.14929245655,0.0,79946.14929245655
323,5397.85,-1,79946.14929245655,0.0,79946.14929245655
324,5436.1,-1,79946.14929245655,0.0,79946.14929245655
325,5420.2,-1,79946.14929245655,0.0,79946.14929245655
326,5446.55,-1,79946.14929245655,0.0,79946.14929245655
327,5441.9,1,-15.990029319989844,14.689383538126496,79922.16624681058
328,5399.15,-1,79270.40363122041,0.0,79270.40363122041
329,5368.85,-1,79270.40363122041,0.0,79270.40363122041
330,5387.0,-1,79270.40363122041,0.0,79270.40363122041
331,5392.7,-1,79270.40363122041,0.0,79270.40363122041
332,5376.65,-1,79270.40363122041,0.0,79270.40363122041
333,5387.1,-1,79270.40363122041,0.0,79270.40363122041
334,5402.0,0,79270.40363122041,0.0,79270.40363122041
335,5370.2,-1,79270.40363122041,0.0,79270.40363122041
336,5352.25,-1,79270.40363122041,0.0,79270.40363122041
337,5297.2,-1,79270.40363122041,0.0,79270.40363122041
338,5242.0,1,-15.854873430274893,15.120655890108424,79246.62330251808
339,5293.1,-1,79995.27987609792,0.0,79995.27987609792
340,5236.1,-1,79995.27987609792,0.0,79995.27987609792
341,5237.0,-1,79995.27987609792,0.0,79995.27987609792
342,5251.25,-1,79995.27987609792,0.0,79995.27987609792
343,5312.05,1,-15.999855928006582,15.057705019285585,79971.282091768
344,5254.25,-1,79077.21324001295,0.0,79077.21324001295
345,5333.55,-1,79077.21324001295,0.0,79077.21324001295
346,5271.1,1,-15.816233420133358,15.000532545373254,79053.49086649682
347,5320.5,1,-15.816233420133358,15.000532545373254,79794.51717423827
348,5323.25,-1,79811.81476030809,0.0,79811.81476030809
349,5316.15,1,-15.963161070205388,15.011584544218875,79787.87201367896
